comparison,mean_abs_predictive_mean_change,max_abs_predictive_mean_change,mean_abs_predictive_std_change,max_abs_predictive_std_change,mean_abs_q025_change,mean_abs_q975_change,MAE_change,RMSE_change,PICP_change,MPIW_change,relative_change_in_mean_predictive_std,relative_change_in_MPIW
20_vs_50,7.111300360361282e-05,0.0004747896473474844,4.7784884888777984e-05,0.00033609128318699095,0.00014519603710690866,0.0001523139589568781,-8.285254550824232e-06,-7.501016019516478e-06,0.01094391244870041,0.00019127628612755697,0.03633229718724978,0.13173413182666696
50_vs_100,3.770999374800109e-05,0.00024667901747121856,2.73196654186125e-05,0.0002404057478019052,8.716804991161139e-05,8.791815038961937e-05,1.3601121026812941e-05,1.317189778338862e-05,0.008207934336525308,7.179270847506095e-05,0.009462946225396285,0.04368910086476148
