model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,max_abs_error_mean,max_abs_error_std,final_year_abs_error_mean,final_year_abs_error_std,training_time_seconds_mean,training_time_seconds_std,pure_inference_time_seconds_mean,pure_inference_time_seconds_std,best_validation_loss_mean,best_validation_loss_std,parameter_count,epochs_mean
Logistic Regression,0.0206522895549379,0.0,0.0242712117699126,0.0,0.0529769135691355,0.0,0.0511924878196919,0.0,,0.0,,0.0,,0.0,8.0,
GRU,0.0019336281603685665,0.00016943592939734368,0.002931438542507167,0.00020699404854918304,0.012885003220415433,0.0011654046903698612,0.001986336096662067,0.001361285764472486,,,,,,,,
TFT,0.004541890510421633,0.0002608709959304676,0.0063734811497729,0.0006489278569511249,0.0237367147457946,0.0043535046258036565,0.0026655755882963998,0.0009480775370243128,,,,,,,,
MLP,0.0069746178882219,0.0008425154335714595,0.009963727430345334,0.0013280249618568144,0.03479216645689223,0.0037726426574363437,0.004863092939277567,0.0021753788430893396,247.14946949999998,42.54696391346742,2.6583433999999215,0.1712078213548685,0.018362502680404732,0.00042588891684355266,135437.0,12.0
Windowed Logistic Regression,0.020211907440755787,0.0,0.023822666523019863,0.0,0.05197882153662656,0.0,0.0487649291545274,0.0,37.575744199999974,0.0,3.430970400000035,0.0,,0.0,4745.0,
