n_passes,MAE,RMSE,mean_predictive_std,max_predictive_std,PICP_95,MPIW_95,final_time_abs_error,max_abs_error,year_of_max_error,monotonicity_violations,evaluation_time_points
20,0.004610344913170872,0.006496862294912591,0.00043479820817327784,0.0012263205573106984,0.09439124487004104,0.0014519872980165408,0.0012879063782675337,0.024931671098405633,36.49007529089665,14,731
50,0.004602059658620048,0.006489361278893074,0.00045059542588911307,0.0015624118404976893,0.10533515731874145,0.0016432635841440977,0.0010710950301603406,0.024791043621732484,36.49007529089665,12,731
100,0.004615660779646861,0.006502533176676463,0.0004548593861737113,0.0018028175882995945,0.11354309165526676,0.0017150562926191587,0.000824416012689122,0.024757936541317416,36.49007529089665,10,731
