parameter,minimum,maximum,mean,standard_deviation,p05,median,p95,near_lower_2pct,near_upper_2pct
Cs,2.6944896198051698,5.983095550869889,4.387140360321799,0.5678573657519056,3.4897221607587676,4.354175246749657,5.386062716917588,0.0,0.002
D28,2.2191224015457563e-12,4.969248323303043e-12,3.4709542254726447e-12,5.06686987495464e-13,2.6814935792120935e-12,3.43932048995086e-12,4.3463009019670035e-12,0.0,0.002
m_aging,0.2019995793689294,0.552812020179846,0.36145813816401356,0.05985813497962516,0.2639746054020566,0.360798613339545,0.4621268906027002,0.003,0.0
cover_mm,40.01730089431416,109.98785715697791,75.56109385496585,20.17160847755492,44.708832543817586,76.19658202933334,106.2082807183218,0.02,0.02
C_th,0.6012978566266128,1.1958830855253428,0.8467913057845751,0.11179424509012825,0.6803094079756398,0.8370544326092992,1.0424694314223066,0.006,0.001
