series_id,Cs,D28,m_aging,cover_mm,C_th,t_init_idx,t_init_year,onset_observed
0,5.9057888666168,4.3064369136026085e-12,0.31067985995180064,101.53807483845925,0.7783843844537668,,,False
1,5.514786124703032,4.004224164974663e-12,0.3757041160605409,70.4548110372259,0.824393261884487,,,False
2,4.977829199591452,3.0920126644296163e-12,0.3805023995754561,69.57193030456648,0.8822382945930434,,,False
3,5.65624078796125,4.490748850286183e-12,0.2396172014116368,56.633996844444844,0.7408805524712917,241.0,18.47501711156742,True
4,5.013592301045276,3.933344115755824e-12,0.3788746012016161,56.795579238952584,0.6442599665540629,,,False
5,4.838683804922584,4.453229357078163e-12,0.21500061243137458,76.78202009049005,0.8016518253501562,554.0,42.469541409993155,True
6,5.054959703666628,4.4207875961010365e-12,0.20397364864378265,67.55226344861245,0.7241956400206195,324.0,24.83778234086242,True
7,4.346174455288747,3.693845671175254e-12,0.2695975432673097,94.35165467788647,0.6923949530275532,,,False
8,3.7901046208073006,4.347984203792362e-12,0.33867604704994764,48.571181253223195,0.6520807038242763,490.0,37.56331279945243,True
9,5.120409928090078,4.266757817276484e-12,0.3070844724108597,62.5898116029337,0.7600198904991882,671.0,51.43874058863792,True
10,4.68432200570562,3.814584699754899e-12,0.30558937681013265,61.69999556493999,0.8379270945601272,,,False
11,4.045865452960775,3.3165819633619015e-12,0.3366156357726884,60.3757535955469,0.620164569719823,,,False
12,4.793518507659172,4.841577265622756e-12,0.21775486953273954,45.47975778135718,0.7921571232296735,134.0,10.272416153319645,True
13,4.567147460572993,4.9290816876459235e-12,0.29599285899395106,107.99020983325256,0.6940579821998215,,,False
14,4.923637705440388,4.463896686949788e-12,0.2938549326542953,84.10943395886017,0.6956677171936995,,,False
15,4.222141056978938,3.960179016901558e-12,0.3162433885297574,42.61254806049213,0.9412267853169496,437.0,33.50034223134839,True
16,4.697478290337222,3.761053995872057e-12,0.30033356586096055,109.9177529851496,0.7693900310386345,,,False
17,4.572667106650378,3.4158866751475407e-12,0.25808814071818675,74.34950752990353,0.8643203812103821,,,False
18,3.8189938307324356,3.3247231901064427e-12,0.3532056183141006,67.23383593424842,0.8232567563670455,,,False
19,5.004495419456298,4.336881671444993e-12,0.40016869237841973,73.10321032758182,0.673706264907368,,,False
20,4.017521550554308,3.839161285081903e-12,0.33172508931590994,47.68706116455054,0.8677946834737783,705.0,54.04517453798768,True
21,5.087008771815828,4.27883747194164e-12,0.32432730762331213,91.00976216319724,0.7463230842082172,,,False
22,3.7807035200835246,3.27976721305168e-12,0.29860996256838435,102.07875146523779,0.7350061590061056,,,False
23,4.3043852275688135,4.886327044417906e-12,0.2123795121298645,66.04569540555283,1.0196817654341193,492.0,37.71663244353183,True
24,4.395685141804738,3.789855307730178e-12,0.2924737003088129,92.35574956901633,0.7301528331559606,,,False
25,5.6675912820970185,3.760171518764303e-12,0.3525780986320147,56.889172167064345,0.8481781061428011,,,False
26,4.492006680183194,3.92364510616667e-12,0.277976344670017,94.36967979620425,0.7668563209938709,,,False
27,4.761544654691258,4.276667271480501e-12,0.3320302508091279,96.15680012872465,0.7407253000334756,,,False
28,3.929426276658118,4.3735861036927054e-12,0.4438989772838191,40.42513381218141,0.8087646802802698,,,False
29,4.480524127429629,3.710469976609867e-12,0.232556088494227,58.102079065556794,0.7342317042400159,389.0,29.82067077344285,True
30,4.418631053205797,3.8907063373661914e-12,0.3218590079013457,107.17623641130147,0.7928259266692379,,,False
31,4.23256837623217,3.811233710016446e-12,0.3947867157241708,68.85074442582564,0.6873217387739632,,,False
32,4.880276004095248,3.574830754574361e-12,0.34318797511681,62.16965004835864,0.7807921248357892,,,False
33,4.200937289455219,4.108190865556379e-12,0.320584733102274,88.43257860340026,0.6003963218517856,,,False
34,5.128084329265198,3.3507317838024506e-12,0.31311038234104416,77.11758911789227,0.8023124178569675,,,False
35,3.6315816575994844,4.228259327334635e-12,0.2646576857390533,104.50325993799555,0.7245248417092417,,,False
36,4.789441688141639,4.841007119260407e-12,0.3117706761621263,94.72519666562613,0.648659521686586,,,False
37,4.255058351941296,4.360192130472593e-12,0.28275432772219816,68.36143368708497,0.7490076884210595,,,False
38,5.9356447977200855,4.048196514950919e-12,0.3820445981123203,102.10701912663023,0.8720203429461498,,,False
39,4.269498048658147,3.275900469866879e-12,0.25714768079185957,86.16747196774875,0.7074564531183315,,,False
40,4.41685216567438,3.270073026025564e-12,0.26202562754544584,56.678192676890916,0.718624667706715,543.0,41.62628336755647,True
41,5.069423180091257,4.7369717522781196e-12,0.2449093924223246,71.79643168543141,0.8202934979650671,536.0,41.08966461327858,True
42,5.282363355128784,3.9039714490064915e-12,0.3954465003410079,84.51333716132808,0.6298393455926483,,,False
43,3.768442087227287,4.88273986824967e-12,0.2453524147961782,91.21214653104238,0.7416495064747758,,,False
44,4.595188710515327,3.4762732238358454e-12,0.3804383508001669,105.34763835301163,0.6934916296792429,,,False
45,4.3679433017594755,4.101757788926071e-12,0.34685205519950657,96.89792028766767,0.7349549897447584,,,False
46,5.200093604110289,3.6664535256404955e-12,0.3387556362535703,103.39596735390256,0.6912995129421682,,,False
47,5.372013930492539,3.857191368757763e-12,0.23628228451651703,93.88715854888851,0.6292836784865194,,,False
48,5.172085780061236,3.813542079974384e-12,0.30078241305672526,54.931273206135664,0.7235900309719057,481.0,36.87337440109514,True
49,3.6161989839796242,4.449476692992589e-12,0.256594179486478,75.14770070694036,0.8934071251529729,,,False
50,3.992498939376598,3.273045237226305e-12,0.20241483093396784,68.16637621224453,0.6455479089326572,535.0,41.01300479123888,True
51,4.512883574079529,3.730622089785723e-12,0.3604111558931505,70.73915716352579,0.9682390335071914,,,False
52,4.590824013551538,4.0846841187419714e-12,0.3469325938408343,95.87162574037313,0.7679114465924461,,,False
53,5.492664605069644,3.5079336481341666e-12,0.35993827864386607,57.66933645589582,0.8073970968106479,,,False
54,3.9904405721532603,4.6491085327958805e-12,0.29405136354562067,54.23774478349988,0.6328333221830701,377.0,28.90075290896646,True
55,4.386220582014449,3.1539912315408942e-12,0.2648666471468725,94.28724004909401,0.7097022411431886,,,False
56,4.587190551261639,3.995941973706029e-12,0.29204497107055477,108.71059320021983,0.6519684093537962,,,False
57,4.780367935855979,4.053630786981613e-12,0.23920461301466786,80.94277233078247,0.9331497187802298,,,False
58,3.859471099604388,3.5593530664353266e-12,0.30119864602911034,81.49574208529563,0.8263632179194029,,,False
59,4.444008435273017,4.877240923672509e-12,0.32868632830930067,60.430644364740004,0.7312693530522367,686.0,52.5886379192334,True
60,5.646180676597972,3.4546457410959225e-12,0.20346627530647743,105.28891216254483,0.8808067883260767,,,False
61,4.622454403214682,4.299895221696576e-12,0.27950031614238174,59.82875569501225,0.6347092879694931,423.0,32.427104722792606,True
62,3.578509509780823,4.104322767947492e-12,0.3096695182623829,44.35280401118062,0.7897663566796648,433.0,33.1937029431896,True
63,5.778764021035891,4.1519761827592975e-12,0.2896946134821365,85.18178089378213,0.7704325112747052,,,False
64,4.043342209244148,3.863938340313411e-12,0.24227537106356647,59.85968076498247,0.8109229671786754,537.0,41.16632443531827,True
65,4.012838448150717,4.126313362589261e-12,0.2792607263879863,89.90292268425465,0.8211623991484812,,,False
66,4.199151645691819,4.816268869112506e-12,0.3388611090769272,96.49791590412687,0.7892657620236846,,,False
67,4.307364324283078,4.1922319206375735e-12,0.31918953544010215,106.1072559231789,0.8584048500435143,,,False
68,5.110450247863333,3.3268519457219536e-12,0.2383845496108053,75.34579697122342,0.7096656365076311,,,False
69,4.4062629001532425,4.433403980758386e-12,0.290753409907808,100.46130670827822,0.6551146778896314,,,False
70,3.968916176456339,3.415848482839173e-12,0.22972869017221031,66.44109871177285,0.741086734450854,688.0,52.7419575633128,True
71,3.658562768915775,4.230687464324812e-12,0.2780801556752838,52.00049518309146,0.7490072440519293,449.0,34.42026009582478,True
72,5.844910288432986,3.5077643473117935e-12,0.341988134991541,51.65991102452966,0.8243610484050775,673.0,51.592060232717316,True
73,5.069753203970803,3.7004316327390925e-12,0.2847378882798662,96.01492345159018,0.6968661073637106,,,False
74,4.2755039446914385,4.244821995401512e-12,0.24026751410222114,93.06385110700083,0.6868336068984034,,,False
75,4.494597030451938,4.818276116915513e-12,0.28565749848076083,52.809532626479545,0.6610064937962946,287.0,22.001368925393567,True
76,4.732513469568182,4.566903231704986e-12,0.29730352810384114,68.43787442605111,0.7878989717613895,,,False
77,4.928394040177045,3.5234899392224545e-12,0.27693394101369734,105.88762981094622,0.625273107449536,,,False
78,5.121587677108363,3.460691072038672e-12,0.26966029943979164,62.90402819197846,0.8700134953738059,747.0,57.26488706365503,True
79,4.630364684660768,3.958722337796722e-12,0.28701471626696895,78.70376331619683,0.9237504943743957,,,False
80,5.004059392056026,3.591589086200147e-12,0.2648290820771095,101.9915810856559,0.7753326676646436,,,False
81,4.795964448686332,4.377376902221058e-12,0.3396765543032819,44.494777813265316,0.7470189220835015,334.0,25.60438056125941,True
