series_id,Cs,cover_m,cover_mm,D28,m_aging,C_th,t_init_idx,t_init_year,onset_observed
0,1.398552652190733,0.04316111721615564,43.16111721615564,7.609162150702466e-12,0.285936630027643,0.17570045146182142,68.0,5.212867898699521,True
1,0.34093320281742134,0.09978683948469119,99.78683948469119,3.5732541590923373e-12,0.22219356390893358,0.32087650394019634,,,False
2,0.4596917468004242,0.07314120736803524,73.14120736803524,3.671946720984311e-12,0.23693121637926715,0.21283461557124012,,,False
3,1.3366555806637215,0.08204007036428536,82.04007036428536,6.429517739411234e-12,0.28189423386210477,0.4616487882433602,,,False
4,1.1685624670493957,0.0551219386591458,55.121938659145805,4.2994583958890495e-12,0.28799850708698704,0.1169674767020946,256.0,19.6249144421629,True
5,0.6835983138188672,0.06321693036400267,63.216930364002664,8.536541737624027e-12,0.3672795187024458,0.15471980471995556,638.0,48.90896646132786,True
6,0.587620587711999,0.10913430637962823,109.13430637962823,4.8214196371825065e-12,0.44184272967071847,0.23569569152316927,,,False
7,0.494483701493743,0.040505519502351796,40.505519502351795,4.415672394951372e-12,0.394409468429883,0.4970282093659327,,,False
8,0.652207995284391,0.08815982738414167,88.15982738414168,6.864859601708035e-12,0.3938407911672683,0.40452294591332894,,,False
9,1.164279293065125,0.10750062658225007,107.50062658225006,8.281490472014159e-12,0.38847498118058676,0.1515546513148477,,,False
10,0.5295233465279546,0.10772715956920115,107.72715956920115,7.012136979707789e-12,0.3375576441500541,0.508431262834954,,,False
11,0.608656822800651,0.05879946732243953,58.799467322439526,4.656940644393381e-12,0.3641040051699892,0.3437888909013268,,,False
12,1.4610846565836875,0.049877065989595244,49.877065989595245,6.6554337511564585e-12,0.33369003782879014,0.3213214788949799,334.0,25.60438056125941,True
13,1.3842651903455032,0.09755019833989223,97.55019833989223,5.827395904736477e-12,0.37195075544292533,0.16931327592472306,,,False
14,1.388032100169809,0.1012913563916992,101.2913563916992,5.252286895239489e-12,0.20414260827936387,0.27914980877217355,,,False
15,1.158293880212192,0.06277392290049347,62.77392290049347,8.388553493280041e-12,0.2878873406051305,0.24981444087739904,300.0,22.99794661190965,True
16,1.1928908101812876,0.09369885234573627,93.69885234573627,7.953394749213945e-12,0.34734469646167876,0.3146238126882231,,,False
17,0.495630368145469,0.05419358229228679,54.19358229228679,6.969905717090193e-12,0.3917534449204892,0.1288921788756693,,,False
18,1.286032479111097,0.06605743094188746,66.05743094188746,7.005091238935571e-12,0.4140421768064415,0.4130898740796115,,,False
19,0.4348339050924135,0.07830354606169806,78.30354606169807,4.139595534962713e-12,0.3282752369117879,0.43515790294794987,,,False
20,0.5025477050441138,0.0533683321234726,53.3683321234726,6.32157082853394e-12,0.3640055821684676,0.43711430569037335,,,False
21,0.5657377273443484,0.1087286632596175,108.72866325961749,5.9778520359381445e-12,0.20139079526707224,0.18593943073610775,,,False
22,0.3623013417578431,0.0882321352084061,88.2321352084061,8.583182172563272e-12,0.4218708505202675,0.32668693998832865,,,False
23,0.34543163862161474,0.08249412766224545,82.49412766224545,4.306201494228331e-12,0.24504961855608634,0.11872928504265058,,,False
24,0.4801217202275072,0.10375336022855258,103.75336022855258,7.543058122348323e-12,0.22816431650701158,0.28867004090147574,,,False
25,1.3902521402098342,0.05990768261605134,59.90768261605134,8.057028582584589e-12,0.2505628140468755,0.41317823586645974,352.0,26.98425735797399,True
